company,date,payment_type,study,PI,payment
Kadmon Corporation LLC,2016-08-02,Cash or cash equivalent,Long Term Treatment and Follow up of Subjects Completing 24 Months of Treatment with Tesevatinib on Study KD019 101 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,13889.38
Pfizer Inc.,2016-08-02,Cash or cash equivalent,A Phase 2b Randomized Doubleblind Placebocontrolled Study To Evaluate The Safety And Efficacy Of Staphylococcus Aureus 4antigen Vaccine sa4ag In Adults Undergoing Elective Posterior Instrumented Lumbar Spinal Fusion Procedures,31776,7280
"Siemens Medical Solutions USA, Inc.",2016-08-02,Cash or cash equivalent,D-Dimer DVT/PE Exclusionary Sample Collection Project.,228567,17942.4
"Medtronic USA, Inc.",2016-08-03,In-kind items and services,SANTE,164924,2390
Novartis Pharmaceuticals Corporation,2016-08-03,Cash or cash equivalent,PHASE 1B STUDY TO ASSESS TUMOR PHARMACOKINETICS PHARMACODYNAMICS AND EFFICACY OF THE CDK4 AND OR 6 INHIBITOR LEE011 IN PATIENTS WITH RECURRENT GLIOBLASTOMA OR ANAPLASTIC ASTROCYTOMA,1152902,58641.75
Boston Scientific Corporation,2016-08-04,Cash or cash equivalent,BRONCHIAL THERMOPLASTY IN SEVERE PERSISTENT ASTHMA (PAS2),945724,250
Gilead Sciences Inc,2016-08-05,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,11500
"Takeda Development Center Americas, Inc.",2016-08-05,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,9298.8
"AbbVie, Inc.",2016-08-08,Cash or cash equivalent,M14-360,1194702,4648.75
Allergan Inc.,2016-08-08,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-08-08,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,30
Allergan Inc.,2016-08-08,In-kind items and services,"A DOUBLE BLIND, PLACEBO- AND ACTIVE CONTROLLED EVALUATION OF THE SAFETY AND EFFICACY OF LEVOMILNACIPRAN ER IN ADOLESCENT PATIENTS WITH MAJOR DEPRESSIVE DISORDER",322890,87.5
Allergan Inc.,2016-08-08,In-kind items and services,"A DOUBLE BLIND, PLACEBO- AND ACTIVE CONTROLLED EVALUATION OF THE SAFETY AND EFFICACY OF LEVOMILNACIPRAN ER IN ADOLESCENT PATIENTS WITH MAJOR DEPRESSIVE DISORDER",322890,55
Allergan Inc.,2016-08-08,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,10
Allergan Inc.,2016-08-08,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,20
Allergan Inc.,2016-08-08,In-kind items and services,"A DOUBLE BLIND, PLACEBO- AND ACTIVE CONTROLLED EVALUATION OF THE SAFETY AND EFFICACY OF LEVOMILNACIPRAN ER IN ADOLESCENT PATIENTS WITH MAJOR DEPRESSIVE DISORDER",322890,145.5
Purdue Pharma,2016-08-09,Cash or cash equivalent,063-013,NA,15081.25
"Seattle Genetics, Inc.",2016-08-10,Cash or cash equivalent,SG019A0003,366054,15125
Sorin Group USA Inc.,2016-08-10,Cash or cash equivalent,Perceval,213301,15225
Valeant Pharmaceuticals North America LLC,2016-08-15,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,185
"Genentech, Inc.",2016-08-16,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,11197.5
"AbbVie, Inc.",2016-08-22,Cash or cash equivalent,M13-740,594186,23716.25
Cook Research Incorporated,2016-08-22,Cash or cash equivalent,Evolution Biliary Fully Covered (Malignant),806291,140
Cook Research Incorporated,2016-08-22,Cash or cash equivalent,Zenith Transection,192614,275
Pfizer Inc.,2016-08-22,Cash or cash equivalent,Differential effects of CEE and estradiol on benign and malignant breast Rationale why CEEBZA is most effective TSEC,335990,6e4
Cook Research Incorporated,2016-08-23,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,124369,300
Purdue Pharma,2016-08-23,Cash or cash equivalent,063-013,NA,55582.5
"Genentech, Inc.",2016-08-24,Cash or cash equivalent,AVENUE,250079,3759
Gilead Sciences Inc,2016-08-24,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,1294
SANOFI US SERVICES INC.,2016-08-24,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,1e3
"Siemens Medical Solutions USA, Inc.",2016-08-24,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,4200
"Siemens Medical Solutions USA, Inc.",2016-08-24,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,9850
"Zimmer Biomet Holdings, Inc.",2016-08-25,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,2437.5
Abbott Laboratories,2016-08-29,Cash or cash equivalent,EVEREST II,217198,8910
"Takeda Development Center Americas, Inc.",2016-08-29,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,2069.1
"Seattle Genetics, Inc.",2016-08-30,Cash or cash equivalent,SG019A0003,366054,25268.37
Allergan Inc.,2016-08-31,Cash or cash equivalent,"A PHASE 3, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY OF CARIPRAZINE AS ADJUNCTIVE THERAPY IN MAJOR DEPRESSIVE DISORDER MDD",322890,369.45
"Roche Diagnostics Operations, Inc.",2016-09-01,In-kind items and services,RD002446,408254,332.44
"Genentech, Inc.",2016-09-02,Cash or cash equivalent,APDL1 BLADDER EAP,266016,18125.1
"AbbVie, Inc.",2016-09-06,Cash or cash equivalent,M14-011,596090,1406.5
GENZYME CORPORATION,2016-09-06,Cash or cash equivalent,Q2 2016 Gaucher LSD Registry,NA,1650
GENZYME CORPORATION,2016-09-06,Cash or cash equivalent,Q2 2016 Fabry LSD Registry,NA,2450
GENZYME CORPORATION,2016-09-06,Cash or cash equivalent,Q2 2016 MPS1 LSD Registry,NA,925
GENZYME CORPORATION,2016-09-06,Cash or cash equivalent,Q2 2016 Pompe LSD Registry,NA,1775
"InSightec,LTD",2016-09-06,Cash or cash equivalent,Long term  follow up to collect data following  MR-Guided Focused Ultrasound Treatment of Uterine Fibroids with ExAblate Model 2100 Type 1.1 System,147662,22747.5
Allergan Inc.,2016-09-08,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,3144.5
Edwards Lifesciences Corporation,2016-09-08,In-kind items and services,Compassion S3 2015-01,96907,12333.4
DePuy Orthopaedics Inc.,2016-09-09,Cash or cash equivalent,Multi-Center Prospective Evaluation of Operative vs Non-operative for ASD,147144,200
"AbbVie, Inc.",2016-09-14,Cash or cash equivalent,M13-740,594186,3930.5
Cook Research Incorporated,2016-09-16,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,294839,700
Cook Research Incorporated,2016-09-16,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,294839,50
"Genentech, Inc.",2016-09-19,Cash or cash equivalent,AVENUE,250079,41348
Pfizer Inc.,2016-09-19,Cash or cash equivalent,Differential effects of CEE and estradiol on benign and malignant breast Rationale why CEEBZA is most effective TSEC,335990,25e3
Cook Research Incorporated,2016-09-20,Cash or cash equivalent,NA,NA,23013
Cook Research Incorporated,2016-09-20,Cash or cash equivalent,NA,NA,12726.15
"Exactech, Inc.",2016-09-22,Cash or cash equivalent,A Prospective Multi-center Data Collection to Assess the Exactech Guided Personalized Surgery eGPS in Total Knee Arthroplasty,233499,9375
Gilead Sciences Inc,2016-09-23,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,2741
"W. L. Gore & Associates, Inc.",2016-09-23,Cash or cash equivalent,GORE HELEX  Septal Occluder  GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging Confirmed TIA in Patients with Patent Foramen Ovale PFO,220413,3375
"W. L. Gore & Associates, Inc.",2016-09-23,Cash or cash equivalent,Gore Research and Development,NA,6787.5
Purdue Pharma,2016-09-27,Cash or cash equivalent,063-013,NA,14905.14
"E.R. Squibb & Sons, L.L.C.",2016-09-28,Cash or cash equivalent,Evaluation of the Benefits and Risks in Maintenance Renal Transplant Recipients Following Conversion to Nulojix Belatacept Based Immunosuppression,696729,72969.1
SANOFI US SERVICES INC.,2016-09-28,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,600
"Aesculap Biologics, LLC",2016-09-30,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,985.05
CorMatrix Cardiovascular Inc.,2016-09-30,Cash or cash equivalent,Carotid Registry,188640,254
Abbott Laboratories,2016-10-03,Cash or cash equivalent,Evaluation of XIENCE PRIME Everolimus Eluting Stent System EECSS or XIENCE V EECSS or XIENCE Xpedition EECSS or XIENCE PRO EECSS Versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization,601536,2467
"AbbVie, Inc.",2016-10-03,Cash or cash equivalent,M14-360,1194702,1366.25
Abbott Laboratories,2016-10-04,Cash or cash equivalent,Evaluation of XIENCE PRIME Everolimus Eluting Stent System EECSS or XIENCE V EECSS or XIENCE Xpedition EECSS or XIENCE PRO EECSS Versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization,601536,5500
Abbott Laboratories,2016-10-05,Cash or cash equivalent,Cardiovascular Outcomes Assessment of the MitraClip Percutaneous Therapy for Heart Failure Patients With Functional Mitral Regurgitation,217198,13550
"E.R. Squibb & Sons, L.L.C.",2016-10-05,Cash or cash equivalent,Evaluation of Acute Rejection Rates in de Novo Renal Transplant Recipients Following Thymoglobulin Induction CNI free Nulojix Belatacept Based Immunosuppression,696729,10870
"Genentech, Inc.",2016-10-07,Cash or cash equivalent,APDL1 BLADDER EAP,266016,10638
"MicroVention, Inc.",2016-10-07,Cash or cash equivalent,HEAT,355275,6237
"W. L. Gore & Associates, Inc.",2016-10-07,Cash or cash equivalent,GORE Septal Occluder Clinical Study A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects ASDs,217198,2687.5
"Varian Medical Systems, Inc.",2016-10-10,Cash or cash equivalent,Real-time delivery with EPID -U.V.,NA,7e4
"AbbVie, Inc.",2016-10-11,Cash or cash equivalent,M14-011,596090,3544.43
Boston Scientific Corporation,2016-10-11,Cash or cash equivalent,BRONCHIAL THERMOPLASTY IN SEVERE PERSISTENT ASTHMA (PAS2),945724,600
Eli Lilly and Company,2016-10-11,Cash or cash equivalent,"A DOUBLE-BLINDED, PLACEBO-CONTROLLED, RANDOMIZED PHASE II STUDY OF ENZALUTAMIDE WITH OR WITHOUT THE PI3 KINASE-MTOR INHIBITOR LY3023414 IN MEN WITH METASTATIC CASTRATION RESISTANT PROSTATE CANCER",266016,4933
Novo Nordisk AS,2016-10-11,In-kind items and services,NN2211-3659,684755,542.09
Pfizer Inc.,2016-10-11,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,61218.98
Purdue Pharma,2016-10-11,Cash or cash equivalent,063-013,NA,646.17
"Abbvie, Inc.",2016-10-12,In-kind items and services,CU-01,129137,49389.2
Edwards Lifesciences Corporation,2016-10-12,Cash or cash equivalent,The PARTNER Trial Placement of Aortic Transcatheter Valve Trial 2006-06,92091,1200
Exelixis Inc.,2016-10-12,Cash or cash equivalent,NA,NA,3e4
"Genentech, Inc.",2016-10-12,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,480.5
"St. Jude Medical, Inc.",2016-10-12,Cash or cash equivalent,ADVANCE ASO,217198,17016.75
"Roche Diagnostics Operations, Inc.",2016-10-13,Cash or cash equivalent,RD002446,408254,11297.5
"Aesculap Biologics, LLC",2016-10-14,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,32231
"Seattle Genetics, Inc.",2016-10-14,Cash or cash equivalent,SG019A0003,366054,13319.96
"AbbVie, Inc.",2016-10-17,Cash or cash equivalent,M13-740,594186,6302.5
Boston Scientific Corporation,2016-10-17,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,1493.14
Boston Scientific Corporation,2016-10-17,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,365
Boston Scientific Corporation,2016-10-17,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,278.13
Allergan Inc.,2016-10-18,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,4555.25
Allergan Inc.,2016-10-18,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,5828.25
Edwards Lifesciences Corporation,2016-10-19,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,123007,66500
"Penumbra, Inc.",2016-10-19,Cash or cash equivalent,A prospective multicenter registry assessing the embolization of neurovascular lesions using the  Penumbra SMART COIL System,329114,39375
"Siemens Medical Solutions USA, Inc.",2016-10-19,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,15562.5
"Takeda Development Center Americas, Inc.",2016-10-20,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,999
Cook Research Incorporated,2016-10-24,Cash or cash equivalent,TX2 Post-approval Study,259543,850
Purdue Pharma,2016-10-25,Cash or cash equivalent,063-013,NA,55905.25
Abbott Laboratories,2016-10-28,Cash or cash equivalent,Pivotal Study A Study of the Evalve Cardiovascular Valve Repair System Endovascular Valve Edge to Edge Repair Study EVERESTIIRCT,217198,1147.5
"Actelion Pharmaceuticals US, Inc.",2016-10-28,Cash or cash equivalent,OPUS - AC-055-503,199176,2525
"E.R. Squibb & Sons, L.L.C.",2016-10-28,Cash or cash equivalent,Phase III 1L H N Metastatic,812566,20125
"E.R. Squibb & Sons, L.L.C.",2016-10-28,Cash or cash equivalent,Phase IIIB Dose Comparison N3 I1 vs I3 N1 in melanoma,812566,13125
"InSightec,LTD",2016-10-31,Cash or cash equivalent,A Continued Access Study to Evaluate the Effectiveness and Safety of ExAblate Transcranial MRgFUS Thalamotomy Treatment of Medication Refractory Essential Tremor Subjects,NA,115941
"Medtronic USA, Inc.",2016-11-01,In-kind items and services,SANTE,164924,2390
Pfizer Inc.,2016-11-01,Cash or cash equivalent,Palbociclib PD0332991 Combined With Fulvestrant In Hormone Receptorplus HER2Negative Metastatic Breast Cancer After Endocrine Failure PALOMA3,760719,188
"Roche Diagnostics Operations, Inc.",2016-11-01,In-kind items and services,RD002446,408254,309.26
Sunovion Pharmaceuticals Inc.,2016-11-01,Cash or cash equivalent,APL-130277,1134319,2982
Fisher Scientific Company L.L.C.,2016-11-02,Cash or cash equivalent,MOSES,959823,37250
Novartis Pharmaceuticals Corporation,2016-11-02,Cash or cash equivalent,A RANDOMIZED DOUBLE BLIND DOUBLE DUMMY PARALLEL GROUP STUDY COMPARING THE EFFICACY AND SAFETY OF OFATUMUMAB ADMINISTERED SUBCUTANEOUSLY VERSUS TERIFLUNOMIDE ADMINISTERED ORALLY IN PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS,74842,6100
"AbbVie, Inc.",2016-11-03,Cash or cash equivalent,A14-464,631489,50633
Edwards Lifesciences Corporation,2016-11-03,In-kind items and services,Compassion S3 2015-01,96907,3248.8
"Zimmer Biomet Holdings, Inc.",2016-11-03,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,1419.69
"Alexion Pharmaceuticals, Inc.",2016-11-04,Cash or cash equivalent,A Natural History Study of Molybdenum Cofactor and Isolated Sulfite Oxidase Deficiencies,102421,7442
"Pharmacyclics LLC, An AbbVie Company",2016-11-04,Cash or cash equivalent,PCYC-1112-CA,1251521,1520.71
Boston Scientific Corporation,2016-11-07,Cash or cash equivalent,CAP2 - PREVAIL CONTINUED ACCESS REGISTRY,217198,1625
Pfizer Inc.,2016-11-08,Cash or cash equivalent,Study Of The Blood Thinner Apixaban For Patients Who Have An Abnormal Heart Rhythm Atrial Fibrillation And Expected To Have Treatment To Put Them Back Into A Normal Heart Rhythm Cardioversion,198456,1250
"Alexion Pharmaceuticals, Inc.",2016-11-09,Cash or cash equivalent,A Natural History Study of Molybdenum Cofactor and Isolated Sulfite Oxidase Deficiencies,102421,5750
Edwards Lifesciences Corporation,2016-11-09,In-kind items and services,Compassion S3 2015-01,96907,5552.03
Insulet Corporation,2016-11-09,Cash or cash equivalent,IN SILICO ASSESSMENT OF INACCURATE INSULIN DELIVERY,NA,18156.5
Purdue Pharma,2016-11-09,Cash or cash equivalent,063-013,NA,22018.75
"Genentech, Inc.",2016-11-10,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,10212.5
"Zimmer Biomet Holdings, Inc.",2016-11-10,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,2437.5
"MicroVention, Inc.",2016-11-11,Cash or cash equivalent,HEAT,355275,702
Cook Research Incorporated,2016-11-14,Cash or cash equivalent,Zenith Transection,192614,150
Cook Research Incorporated,2016-11-14,Cash or cash equivalent,NA,NA,100
F. Hoffmann-La Roche AG,2016-11-14,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,14428.71
Pfizer Inc.,2016-11-14,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,19032
"AbbVie, Inc.",2016-11-16,Cash or cash equivalent,M14-011,596090,3256.84
"AbbVie, Inc.",2016-11-16,Cash or cash equivalent,M14-327,594186,6446.25
"Seattle Genetics, Inc.",2016-11-16,Cash or cash equivalent,SG019A0003,366054,1146.34
"Seattle Genetics, Inc.",2016-11-16,Cash or cash equivalent,SG0350014,366054,2395.5
"Biogen, Inc.",2016-11-17,Cash or cash equivalent,Multiple Sclerosis Partners Advancing Technology and Health Solutions (MS PATHS) Demonstration Project,NA,1064
Boston Scientific Corporation,2016-11-21,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,365
Boston Scientific Corporation,2016-11-21,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,618.76
SANOFI US SERVICES INC.,2016-11-22,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,129.43
Valeant Pharmaceuticals North America LLC,2016-11-22,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,185
SANOFI US SERVICES INC.,2016-11-23,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,3660
Gilead Sciences Inc,2016-11-29,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,733
"AbbVie, Inc.",2016-11-30,Cash or cash equivalent,M13-740,594186,2717.2
"AbbVie, Inc.",2016-11-30,Cash or cash equivalent,M13-740,594186,3568
"Genentech, Inc.",2016-12-01,Cash or cash equivalent,INDXN MAIN ETRO PBO,594186,3500
"Roche Diagnostics Operations, Inc.",2016-12-01,In-kind items and services,RD002446,408254,170.66
"Siemens Medical Solutions USA, Inc.",2016-12-01,Cash or cash equivalent,NA,300280,1
Eli Lilly and Company,2016-12-05,Cash or cash equivalent,"A PHASE 2 STUDY OF ABEMACICLIB IN PATIENTS WITH BRAIN METASTASES SECONDARY TO HORMONE RECEPTOR POSITIVE BREAST CANCER, NON-SMALL CELL LUNG CANCER, OR MELANOMA",760719,12937.5
F. Hoffmann-La Roche AG,2016-12-05,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,1900
Gilead Sciences Inc,2016-12-06,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,300
Vertex Pharmaceuticals Incorporated,2016-12-06,Cash or cash equivalent,A Phase 3 Rollover Study of Lumacaftor in Combination With Ivacaftor in Subjects 12 Years and Older With Cystic Fibrosis,826949,11595.63
DePuy Orthopaedics Inc.,2016-12-07,Cash or cash equivalent,Multi-Center Prospective Evaluation of Operative vs Non-operative for ASD,147144,3300
Novartis Pharmaceuticals Corporation,2016-12-07,Cash or cash equivalent,AN EVALUATION OF TREATMENT WITH XOLAIROMALIZUMAB TO IMPROVE THE ASTHMATIC RESPONSE TO AN EXPERIMENTAL INFECTION WITH RHINOVIRUS,258995,96649.1
"Takeda Development Center Americas, Inc.",2016-12-07,Cash or cash equivalent,"A Randomized, Double-Blind, Parallel Group, Placebo- and Active-Controlled, Phase 4 Study Evaluating the Effect of Vortioxetine 10 and 20 mg/day vs Paroxetine 20 mg/day on Sexual Functioning in Healthy Subjects Effect of Vortioxetine, Paroxetine, and Placebo on Sexual Functioning in Healthy Volunteers",322890,10684.5
"Genentech, Inc.",2016-12-08,Cash or cash equivalent,POC FOR RO6867461 IN DME,250079,16713
"Genentech, Inc.",2016-12-08,Cash or cash equivalent,AVENUE,250079,35887
"Genentech, Inc.",2016-12-09,Cash or cash equivalent,APDL1 BLADDER EAP,266016,14540
"Genentech, Inc.",2016-12-09,Cash or cash equivalent,ATEZOLIZUMAB IN MUSCLE INVASIVE BLADDER CANCER MIBC,266016,8217
"Actelion Pharmaceuticals US, Inc.",2016-12-12,Cash or cash equivalent,QUERI ACHD - AC-052433 USA,475119,800
Allergan Inc.,2016-12-13,Cash or cash equivalent,Safety and Efficacy of Bimatoprost Sustained-Release (SR) in Patients With Open-Angle Glaucoma or Ocular Hypertension,77076,2750
Allergan Inc.,2016-12-13,Cash or cash equivalent,Safety and Efficacy of Bimatoprost Sustained-Release (SR) in Patients With Open-Angle Glaucoma or Ocular Hypertension,77076,2750
"Medtronic USA, Inc.",2016-12-13,In-kind items and services,SANTE,164924,2390
"Takeda Development Center Americas, Inc.",2016-12-13,Cash or cash equivalent,"A prospective, observational, cohort safety study of vedolizumab for imflammatory disease",594186,3e3
"W. L. Gore & Associates, Inc.",2016-12-13,Cash or cash equivalent,GORE HELEX  Septal Occluder  GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging Confirmed TIA in Patients with Patent Foramen Ovale PFO,220413,500
"W. L. Gore & Associates, Inc.",2016-12-13,Cash or cash equivalent,Gore Research and Development,NA,6400
"Abbvie, Inc.",2016-12-14,In-kind items and services,A14-464,631489,57355.2
"AbbVie, Inc.",2016-12-14,Cash or cash equivalent,M14-011,596090,2062.92
Edwards Lifesciences Corporation,2016-12-14,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,92091,26650
Allergan Inc.,2016-12-15,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,7315
"AbbVie, Inc.",2016-12-19,Cash or cash equivalent,M13-740,594186,991
"MicroVention, Inc.",2016-12-19,Cash or cash equivalent,HEAT,355275,1386
Pfizer Inc.,2016-12-19,Cash or cash equivalent,NA,257796,12500
Pfizer Inc.,2016-12-21,Cash or cash equivalent,Sertraline Pediatric Registry for the Evaluation of Safety SPRITES,81927,4.71
SANOFI US SERVICES INC.,2016-12-22,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,311.16
"W. L. Gore & Associates, Inc.",2016-12-23,Cash or cash equivalent,GORE HELEX  Septal Occluder  GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging Confirmed TIA in Patients with Patent Foramen Ovale PFO,220413,1250
"AbbVie, Inc.",2016-12-27,Cash or cash equivalent,A14-464,631489,75591.5
Allergan Inc.,2016-12-27,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,2500
