hero,comic
BEAST,XU 10
"NYLES, JENNIFER",UX 50/2
"MCCOY, EDNA ANDREWS",UX 50/2
"MCCOY, NORTON",UX 50/2
BEAST,UX 50/2
EL CONQUISTADOR,UX 50/2
BEAST,M/CP 86/3
COMMANDER COURAGE,M/CP 86/3
"NYLES, JENNIFER",M/CP 86/3
CONSTRICTOR,M/CP 86/3
TARANTULA II,M/CP 88/3
PROFESSOR X,M/CP 88/3
BEAST,M/CP 88/3
WONDER MAN,A 209
VISION,A 209
SCARLET WITCH,A 209
BEAST,A 209
"CANTOR, VERA",A 209
MR. FANTASTIC,A 209
"JARVIS, EDWIN",A 209
ZELDA,UX 47
"CANTOR, VERA",UX 47
ICEMAN,UX 47
BEAST,UX 47
MAHA YOGI,UX 47
ZELDA,M/HOL 1994
ICEMAN,M/HOL 1994
BEAST,M/HOL 1994
BERNARD THE POET,M/HOL 1994
"CANTOR, VERA",M/HOL 1994
STORM,M/HOL 1994
METOXO,M/HOL 1994
MASTERMIND,UX 59
MARVEL GIRL,UX 59
SENTINELS,UX 59
CYCLOPS,UX 59
QUICKSILVER,UX 59
BLOB,UX 59
UNUS THE UNTOUCHABLE,UX 59
"CHALMERS, JUDGE ROBE",UX 59
TOAD,UX 59
HAVOK,UX 59
"TRASK, LAWRENCE LARR",UX 59
SAURON,UX 59
SCARLET WITCH,UX 59
BEAST,UX 59
ICEMAN,X:HY 9
"MARTIN, ASHLEY",X:HY 9
HUMAN TORCH,X:HY 9
MARVEL GIRL,X:HY 9
CYCLOPS,X:HY 9
"HARKNESS, AGATHA",X:HY 9
EBONY,X:HY 9
THING,X:HY 9
SAURON,X:HY 9
MR. FANTASTIC,X:HY 9
"SOUTHERN, CANDY",X:HY 9
PROFESSOR X,X:HY 9
CRYSTAL [INHUMAN],X:HY 9
INVISIBLE WOMAN,X:HY 9
"RICHARDS, FRANKLIN B",X:HY 9
BEAST,X:HY 9
MARVEL GIRL,AA2 12
BEAST,AA2 12
UNUS THE UNTOUCHABLE,AA2 12
PROFESSOR X,AA2 12
IRON MAN,AA2 12
BLOB,AA2 12
"RODGERS, MARIANNE",AA2 12
MASTERMIND,AA2 12
"DONALDSON, LINDA",AA2 12
"DONALDSON, LINDA",AA2 13
MAD DOG,AA2 13
MASTERMIND,AA2 13
BLOB,AA2 13
UNUS THE UNTOUCHABLE,AA2 13
BEAST,AA2 13
HELLCAT,AA2 13
"CANTOR, VERA",AA2 13
MAD DOG,AA2 14
QUASIMODO,AA2 14
"CANTOR, VERA",AA2 14
"DONALDSON, LINDA",AA2 14
HELLCAT,AA2 14
IRON MAN,AA2 14
BEAST,AA2 14
LADY LARK,A 144
"JONES, HUGH",A 144
THING,A 144
GOLDEN ARCHER II,A 144
DR. SPECTRUM,A 144
BEAST,A 144
CAPTAIN AMERICA,A 144
HYPERION,A 144
THOR,A 144
SCARLET WITCH,A 144
MOONDRAGON,A 144
WHIZZER II,A 144
HAWK,A 144
TWO-GUN KID,A 144
MAD DOG,A 144
INVISIBLE WOMAN,A 144
IRON MAN,A 144
MR. FANTASTIC,A 144
HELLCAT,A 144
VISION,A 144
"CONWAY, GERRY",AA2 16
"THOMAS, ROY",AA2 16
"THOMAS, JEANIE",AA2 16
"CANTOR, VERA",AA2 16
BEAST,AA2 16
JUGGERNAUT,AA2 16
"WEIN, GLYNIS",AA2 16
"WEIN, LEN",AA2 16
"ENGLEHART, STEVE",AA2 16
"ROSS, GEN. THADDEUS",H2 161
MIMIC,H2 161
"CANTOR, VERA",H2 161
BEAST,H2 161
HULK,H2 161
CAPTAIN AMERICA,CA 183
FALCON,CA 183
"CARTER, PEGGY",CA 183
CAPTAIN AMERICA V,CA 183
REDWING,CA 183
"TAYLOR, LEILA",CA 183
"JONES, GABE",CA 183
BEAST,CA 183
GAMECOCK,CA 183
MORGAN,CA 183
SPIDER-MAN,M/TU 38
BEAST,M/TU 38
GRIFFIN II,M/TU 38
"JONES, HUGH",A 142
RAWHIDE KID,A 142
VISION,A 142
GOLDEN ARCHER II,A 142
WHIZZER II,A 142
DR. SPECTRUM,A 142
RINGO KID,A 142
HAWK,A 142
MAD DOG,A 142
SCARLET WITCH,A 142
HYPERION,A 142
THOR,A 142
MOONDRAGON,A 142
CAPTAIN AMERICA,A 142
HELLCAT,A 142
IRON MAN,A 142
BEAST,A 142
KID COLT,A 142
PHARAOH RAMA-TUT,A 142
LADY LARK,A 142
TWO-GUN KID,A 142
NIGHT RIDER,A 142
NIGHT RIDER,A 143
THOR,A 143
TWO-GUN KID,A 143
HELLCAT,A 143
IRON MAN,A 143
RAWHIDE KID,A 143
PHARAOH RAMA-TUT,A 143
KID COLT,A 143
BEAST,A 143
VISION,A 143
CAPTAIN AMERICA,A 143
SCARLET WITCH,A 143
MOONDRAGON,A 143
RINGO KID,A 143
HAWK,A 143
MAD DOG,A 147
CAPTAIN AMERICA,A 147
TWO-GUN KID,A 147
IRON MAN,A 147
HAWK,A 147
THOR,A 147
LADY LARK,A 147
HYPERION,A 147
WHIZZER II,A 147
BEAST,A 147
SCARLET WITCH,A 147
VISION,A 147
HELLCAT,A 147
MOONDRAGON,A 147
DR. SPECTRUM,A 147
GOLDEN ARCHER II,A 147
"JONES, HUGH",A 147
SCARLET WITCH,A 145
THOR,A 145
CAPTAIN AMERICA,A 145
HAWK,A 145
VISION,A 145
BEAST,A 145
IRON MAN,A 145
IRON MAN,IM 90
BEAST,IM 90
"O'BRIEN, MICHAEL",IM 90
CONTROLLER,IM 90
SCARLET WITCH,DEF 44
MOONDRAGON,DEF 44
HELLCAT,DEF 44
IRON MAN,DEF 44
DR. STRANGE,DEF 44
CAPTAIN AMERICA,DEF 44
"NORRISS, SISTER BARB",DEF 44
BEAST,DEF 44
NIGHTHAWK II,DEF 44
RED GUARDIAN III,DEF 44
"CAGE, LUKE",DEF 44
WONG,DEF 44
HULK,DEF 44
RHINO,DEF 44
VISION,DEF 44
"NORRISS, JACK",DEF 44
MINERVA [KREE],CM 50
CAPTAIN MARVEL,CM 50
BEAST,CM 50
"JONES, RICHARD MILHO",CM 50
CAPTAIN AMERICA,CM 50
"WILFORD, ELISABETH B",CM 50
SUPER-ADAPTOID,CM 50
VISION,CM 50
SCARLET WITCH,CM 50
"WILFORD, ETHAN",CM 50
IRON MAN,CM 50
"JARVIS, EDWIN",CM 50
HERCULES [GREEK GOD],A 163
TYPHON,A 163
ICEMAN,A 163
BEAST,A 163
BLACK WIDOW,A 163
IRON MAN,A 163
SCARLET WITCH,A@ 7
THOR,A@ 7
STRANGER,A@ 7
BEAST,A@ 7
VISION,A@ 7
WARLOCK II,A@ 7
CAPTAIN AMERICA,A@ 7
IRON MAN,A@ 7
GAMORA,A@ 7
PIP,A@ 7
THANOS,A@ 7
MOONDRAGON,A@ 7
CAPTAIN MARVEL,A@ 7
"JAYE-FIRESTONE, GING",M/TIO@ 2
GAMORA,M/TIO@ 2
THING,M/TIO@ 2
CAPTAIN MARVEL,M/TIO@ 2
SCARLET WITCH,M/TIO@ 2
BEAST,M/TIO@ 2
CAPTAIN AMERICA,M/TIO@ 2
WARLOCK II,M/TIO@ 2
MOONDRAGON,M/TIO@ 2
THOR,M/TIO@ 2
SPIDER-MAN,M/TIO@ 2
THANOS,M/TIO@ 2
VISION,M/TIO@ 2
PIP,M/TIO@ 2
IRON MAN,M/TIO@ 2
NAMORITA,MSM 16
SCARLET WITCH,MSM 16
BEAST,MSM 16
TIGER SHARK,MSM 16
MYSTIQUE,MSM 16
BINARY,MSM 16
SCARLET WITCH,DEF 58
CAPTAIN AMERICA,DEF 58
"NORRISS, JACK",DEF 58
DEVIL-SLAYER,DEF 58
DOLLAR BILL,DEF 58
BEAST,DEF 58
WONG,DEF 58
"NORRISS, SISTER BARB",DEF 58
IRON MAN,DEF 58
HULK,DEF 58
DR. STRANGE,DEF 58
BEAST,M/TU 69
SPIDER-MAN,M/TU 69
HAVOK,M/TU 69
LIVING MONOLITH,M/TU 69
THOR,M/TU 69
POLARIS,M/TU 69
BEAST,CX 17
BEAST,A 201/2
"JARVIS, EDWIN",A 201/2
CAPTAIN AMERICA,A 201/2
WONDER MAN,A 201/2
SCARLET WITCH,T 271
WONDER MAN,T 271
THOR,T 271
DR. DOOM,T 271
VISION,T 271
CAPTAIN AMERICA,T 271
SPIDER-MAN,T 271
BEAST,T 271
IRON MAN,T 271
NOVA,T 271
DAREDEVIL,T 271
"FURY, COL. NICHOLAS",T 271
CAPTAIN MARVEL,T 271
SHANG-CHI,T 271
WASP,A 178
WONDER MAN,A 178
MANIPULATOR,A 178
BEAST,A 178
"JARVIS, EDWIN",A 178
CAPTAIN AMERICA,A 178
DEATH-STALKER,DD 155
CAPTAIN AMERICA,DD 155
"NELSON, FRANKLIN FOG",DD 155
"BLAKE, BECKY",DD 155
BEAST,DD 155
HERCULES [GREEK GOD],DD 155
BLACK WIDOW,DD 155
DAREDEVIL,DD 155
BEAST,DD 156
CAPTAIN AMERICA,DD 156
"JARVIS, EDWIN",DD 156
HERCULES [GREEK GOD],DD 156
DAREDEVIL,DD 156
"BLAKE, BECKY",DD 156
BLACK WIDOW,DD 156
DEATH-STALKER,DD 156
BEAST,CA 228
CAPTAIN AMERICA,CA 228
THOR,CA 228
KLIGGER,CA 228
TEXAS TWISTER,CA 228
HERCULES [GREEK GOD],CA 228
IRON MAN,CA 228
BLUE STREAK,CA 228
"SITWELL, JASPER",CA 228
VISION,CA 228
VAMP,CA 228
CONSTRICTOR,CA 228
QUASAR III,CA 228
SCARLET WITCH,CA 228
CAPTAIN AMERICA,CA 229
VAMP,CA 229
HERCULES [GREEK GOD],CA 229
TEXAS TWISTER,CA 229
"JARVIS, EDWIN",CA 229
CONSTRICTOR,CA 229
BLUE STREAK,CA 229
BEAST,CA 229
QUASAR III,CA 229
"SITWELL, JASPER",CA 229
THOR,CA 229
KILLER SHRIKE,M/TU 90
"IRONWOOD, CISSY",M/TU 90
BEAST,M/TU 90
MODULAR MAN,M/TU 90
SPIDER-MAN,M/TU 90
WASP,CA 237
CAPTAIN AMERICA,CA 237
"FURY, COL. NICHOLAS",CA 237
BEAST,CA 237
BINARY,CA 237
VISION,CA 237
SPIDER-MAN,CA 237
FALCON,CA 237
BEAST,BP 14
BLACK PANTHER,BP 14
KLAW,BP 14
VISION,BP 14
SCARLET WITCH,BP 14
CAPTAIN AMERICA,BP 14
"PEARSON, AUBREY",BP 14
IRON MAN,BP 14
"LYNNE, MONICA",BP 14
KLAW,BP 15
"LYNNE, MONICA",BP 15
CAPTAIN AMERICA,BP 15
BEAST,BP 15
BLACK PANTHER,BP 15
VISION,BP 15
IRON MAN,A 185
QUICKSILVER,A 185
FALCON,A 185
BOVA,A 185
HAWK,A 185
"JARVIS, EDWIN",A 185
MISS AMERICA,A 185
BINARY,A 185
BEAST,A 185
CAPTAIN AMERICA,A 185
SCARLET WITCH,A 185
MODRED THE MYSTIC,A 185
JOCASTA,A 185
WHIZZER,A 185
VISION,A 185
REDWING,A 185
WASP,A 185
"MAXIMOFF, DJANGO",A 185
BINARY,M/TIO 51
BEAST,M/TIO 51
"FURY, COL. NICHOLAS",M/TIO 51
WONDER MAN,M/TIO 51
"DUGAN, TIMOTHY ALOYI",M/TIO 51
"TOWER, BLAKE",M/TIO 51
"JARVIS, EDWIN",M/TIO 51
THING,M/TIO 51
WOLVERINE,UX 134
CYCLOPS,UX 134
STORM,UX 134
NIGHTCRAWLER,UX 134
"LELAND, HARRY",UX 134
COLOSSUS II,UX 134
"KELLY, SEN. ROBERT E",UX 134
PHOENIX II,UX 134
BEAST,UX 134
"PIERCE, DONALD",UX 134
BLACK KING,UX 134
MASTERMIND,UX 134
HERCULES [GREEK GOD],FF 286
SHE-HULK,FF 286
CAPTAIN AMERICA,FF 286
"JARVIS, EDWIN",FF 286
HUMAN TORCH,FF 286
BEAST,FF 286
INVISIBLE WOMAN,FF 286
MARVEL GIRL,FF 286
MR. FANTASTIC,FF 286
WASP,A 186
BEAST,A 186
HIGH EVOLUTIONARY,A 186
CAPTAIN AMERICA,A 186
"JARVIS, EDWIN",A 186
QUICKSILVER,A 186
MISS AMERICA,A 186
"GYRICH, HENRY PETER",A 186
BOVA,A 186
MAGNUS,A 186
"MAXIMOFF, DJANGO",A 186
MODRED THE MYSTIC,A 186
WONDER MAN,A 186
VISION,A 186
SCARLET WITCH,A 186
BINARY,A 186
WHIZZER,A 186
FALCON,A 186
"CAGLIOSTRO, ALESSAND",A 187
CH'THON,A 187
SCARLET WITCH,A 187
BOVA,A 187
"LE FEY, MORGAN",A 187
MAGNUS,A 187
QUICKSILVER,A 187
BINARY,A 187
CAPTAIN AMERICA,A 187
WASP,A 187
GAEA,A 187
HIGH EVOLUTIONARY,A 187
WONDER MAN,A 187
OTHER,A 187
FALCON,A 187
BEAST,A 187
MODRED THE MYSTIC,A 187
SPIDER-WOMAN,A 187
TABOO,A 187
"MAXIMOFF, DJANGO",A 187
BEAST,A 193
WONDER MAN,A 193
FALCON,A 193
IRON MAN,A 193
VISION,A 193
CAPTAIN AMERICA,A 193
WASP,A 193
INFERNO II,A 193
BINARY,A 193
IRON MAN,A 194
REDWING,A 194
WASP,A 194
FALCON,A 194
BEAST,A 194
"JARVIS, EDWIN",A 194
BINARY,A 194
CAPTAIN AMERICA,A 194
VISION,A 194
WONDER MAN,A 194
JOCASTA,A 194
BEAST,CA 250
VISION,CA 250
DAREDEVIL,CA 250
"ROSENTHAL, BERNIE",CA 250
DR. STRANGE,CA 250
IRON MAN,CA 250
"DUGAN, TIMOTHY ALOYI",CA 250
WASP,CA 250
"FARREL, MIKE",CA 250
"FURY, COL. NICHOLAS",CA 250
SPIDER-MAN,CA 250
"ROBERTSON, JOE",CA 250
CAPTAIN AMERICA,CA 250
"JARVIS, EDWIN",CA 250
"JAMESON, J. JONAH",CA 250
WONDER MAN,A 203
WASP,A 203
SCARLET WITCH,A 203
BEAST,A 203
HAWK,A 203
IRON MAN,A 203
VISION,A 203
"JARVIS, EDWIN",A 203
CAPTAIN AMERICA,A 203
JOCASTA,A 203
"JARVIS, EDWIN",A 204
IRON MAN,A 204
HAWK,A 204
YELLOW CLAW,A 204
WONDER MAN,A 204
CAPTAIN AMERICA,A 204
VISION,A 204
WASP,A 204
JOCASTA,A 204
SCARLET WITCH,A 204
BEAST,A 204
WONDER MAN,A 205
CAPTAIN AMERICA,A 205
SCARLET WITCH,A 205
BEAST,A 205
VISION,A 205
IRON MAN,A 205
YELLOW CLAW,A 205
"JARVIS, EDWIN",A 205
JOCASTA,A 205
WASP,A 205
ENCHANTRESS,DAZZ 1
"JARVIS, EDWIN",DAZZ 1
CAPTAIN AMERICA,DAZZ 1
"BLAIRE, CARTER",DAZZ 1
DAZZLER II,DAZZ 1
NIGHTCRAWLER,DAZZ 1
SPIDER-MAN,DAZZ 1
BEAST,DAZZ 1
WASP,DAZZ 1
SHADOWCAT,DAZZ 1
COLOSSUS II,DAZZ 1
WOLVERINE,DAZZ 1
IRON MAN,DAZZ 1
HAWK,DAZZ 1
STORM,DAZZ 1
WONDER MAN,A 206
BEAST,A 206
VISION,A 206
WASP,A 206
JOCASTA,A 206
IRON MAN,A 206
HUMAN TORCH,A 206
CAPTAIN AMERICA,A 206
"JARVIS, EDWIN",A 206
SCARLET WITCH,A 206
CAPTAIN AMERICA,DD 164
VISION,DD 164
BLACK WIDOW,DD 164
BEAST,DD 164
"URICH, BEN",DD 164
THING,DD 164
MR. FANTASTIC,DD 164
SCARLET WITCH,DD 164
DAREDEVIL,DD 164
THOR,DD 164
INVISIBLE WOMAN,DD 164
"CAGE, LUKE",DD 164
HUMAN TORCH,DD 164
IRON FIST,DD 164
BERSERKER,A 207
WONDER MAN,A 207
VISION,A 207
JOCASTA,A 207
"JARVIS, EDWIN",A 207
SCARLET WITCH,A 207
CAPTAIN AMERICA,A 207
IRON MAN,A 207
WASP,A 207
BEAST,A 207
IRON MAN,A 208
"JARVIS, EDWIN",A 208
CAPTAIN AMERICA,A 208
WASP,A 208
WONDER MAN,A 208
JOCASTA,A 208
BERSERKER,A 208
SCARLET WITCH,A 208
VISION,A 208
BEAST,A 208
SCARLET WITCH,FF 230
"RICHARDS, FRANKLIN B",FF 230
THOR,FF 230
HUMAN TORCH,FF 230
BEAST,FF 230
IRON MAN,FF 230
MR. FANTASTIC,FF 230
THING,FF 230
INVISIBLE WOMAN,FF 230
"MELTON, LORRIE",FF 230
"MASTERS, ALICIA REIS",FF 230
CAPTAIN AMERICA,FF 230
VISION,FF 230
CAPTAIN AMERICA,CA 259
DR. OCTOPUS,CA 259
BEAST,CA 259
"JARVIS, EDWIN",CA 259
BEAST,DAZZ 5
DAZZLER II,DAZZ 5
HUMAN TORCH,DAZZ 5
BLUE SHIELD,DAZZ 5
XEMNU,M/TIO 78
INVISIBLE WOMAN,M/TIO 78
WONDER MAN,M/TIO 78
"MASTERS, ALICIA REIS",M/TIO 78
MR. FANTASTIC,M/TIO 78
THING,M/TIO 78
"RICHARDS, FRANKLIN B",M/TIO 78
HUMAN TORCH,M/TIO 78
DAREDEVIL,M/TIO 78
BEAST,M/TIO 78
IRON MAN,CA 261
CAPTAIN AMERICA,CA 261
NOMAD II,CA 261
REDWING,CA 261
RED SKULL,CA 261
BEAST,CA 261
VISION,CA 261
FALCON,CA 261
BEAST,A 210
CAPTAIN AMERICA,A 210
IRON MAN,A 210
WASP,A 210
VISION,A 210
WONDER MAN,A 210
JOCASTA,A 210
SCARLET WITCH,A 210
THOR,A 210
GARGOYLE II,DEF 98
HELLCAT,DEF 98
MEPHISTO,DEF 98
SUB-MARINER,DEF 98
HELLSTORM,DEF 98
"NORRISS, SISTER BARB",DEF 98
WONDER MAN,DEF 98
NIGHTHAWK II,DEF 98
BEAST,DEF 98
IRON MAN,DEF 98
SILVER SURFER,DEF 98
DEVIL-SLAYER,DEF 98
DR. STRANGE,DEF 98
CAPTAIN AMERICA,DEF 98
MAN-THING,DEF 98
CLEA,DEF 98
HULK,DEF 98
WONG,DEF 98
DR. STRANGE,SS@ 6
MR. FANTASTIC,SS@ 6
NIGHTHAWK II,SS@ 6
BEAST,SS@ 6
GARGOYLE II,SS@ 6
STARFOX,SS@ 6
HUMAN TORCH,SS@ 6
"NORRISS, SISTER BARB",SS@ 6
INVISIBLE WOMAN,SS@ 6
GHOST RIDER II,SS@ 6
MENTOR,SS@ 6
SUB-MARINER,SS@ 6
CAPTAIN AMERICA,SS@ 6
ISAAC,SS@ 6
ELYSIUS,SS@ 6
THING,SS@ 6
IRON MAN,SS@ 6
CLEA,DEF 103
WONG,DEF 103
NIGHTHAWK II,DEF 103
BEAST,DEF 103
GARGOYLE II,DEF 103
DEVIL-SLAYER,DEF 103
"MASTERS, DR. AUGUST",DEF 103
HELLCAT,DEF 103
DAREDEVIL,DEF 103
"NORRISS, SISTER BARB",DEF 103
HELLCAT,DEF 104
GARGOYLE II,DEF 104
WONDER MAN,DEF 104
BEAST,DEF 104
SATAN,DEF 104
"FATE, IAN",DEF 104
DEVIL-SLAYER,DEF 104
WONG,DEF 104
NIGHTHAWK II,DEF 104
"NORRISS, SISTER BARB",DEF 104
DR. STRANGE,DEF 104
HELLSTORM,DEF 104
DAREDEVIL,DEF 104
DR. STRANGE,DEF 105
SATAN,DEF 105
"CANTOR, VERA",DEF 105
HELLSTORM,DEF 105
BEAST,DEF 105
MR. FANTASTIC,DEF 105
"MASTERS, DR. AUGUST",DEF 106
HELLCAT,DEF 106
HELLSTORM,DEF 106
BEAST,DEF 106
DAREDEVIL,DEF 106
"WILLIAMS, MINDY",DEF 106
"NORRISS, SISTER BARB",DEF 106
CAPTAIN AMERICA,DEF 106
"CANTOR, VERA",DEF 106
NIGHTHAWK II,DEF 106
DR. STRANGE,DEF 106
WONG,DEF 106
GARGOYLE II,DEF 106
"CANTOR, VERA",DEF 108
HELLCAT,DEF 108
SUB-MARINER,DEF 108
"NORRISS, SISTER BARB",DEF 108
BEAST,DEF 108
HULK,DEF 108
HELLSTORM,DEF 108
ENCHANTRESS,DEF 108
DR. STRANGE,DEF 108
SPIDER-MAN,DEF 108
ENCHANTRESS,DEF 109
DR. STRANGE,DEF 109
GARGOYLE II,DEF 109
"CANTOR, VERA",DEF 109
SPIDER-MAN,DEF 109
HULK,DEF 109
SUB-MARINER,DEF 109
BEAST,DEF 109
ODIN [ASGARDIAN],DEF 109
NIGHTHAWK,DEF 109
"NORRISS, SISTER BARB",DEF 109
HELLCAT,DEF 109
HELLSTORM,DEF 109
OVERMIND,DEF 115
SUB-MARINER,DEF 115
"WILLIAMS, MINDY",DEF 115
DR. STRANGE,DEF 115
HELLSTORM,DEF 115
"MASTERS, DR. AUGUST",DEF 115
"NORRISS, SISTER BARB",DEF 115
HULK,DEF 115
NIGHTHAWK,DEF 115
HYPERION,DEF 115
VISION,DEF 115
SILVER SURFER,DEF 115
SCARLET WITCH,DEF 115
GARGOYLE II,DEF 115
BEAST,DEF 115
"CHEKOV, ARTHUR ANTON",M/TU 124
"CHANG, DR. PHILLIP",M/TU 124
"PALERMO, HARRIET ROS",M/TU 124
"PALERMO, VICTOR",M/TU 124
"PARKER, MAY",M/TU 124
SPIDER-MAN,M/TU 124
"CANTOR, VERA",M/TU 124
"HOCHBERG, ROGER",M/TU 124
BEAST,M/TU 124
"HOPKINS, STEVE",M/TU 124
MARTHA,M/TU 124
"MCCOY, NORTON",M/TU 124
"CARRERA, MIA",M/TU 124
"MCCOY, EDNA ANDREWS",M/TU 124
"LUBENSKI, NATE",M/TU 124
PROFESSOR POWER,M/TU 124
SOPHIE,M/TU 124
SCARLET WITCH,A 231
CAPTAIN MARVEL II,A 231
"GYRICH, HENRY PETER",A 231
IRON MAN IV,A 231
HAWK,A 231
BEAST,A 231
THOR,A 231
STARFOX,A 231
VISION,A 231
SHE-HULK,A 231
PLANTMAN,A 231
"SITWELL, JASPER",A 231
WASP,A 231
"JARVIS, EDWIN",A 231
CAPTAIN AMERICA,A 231
"REAGAN, RONALD",A 231
"FURY, COL. NICHOLAS",A 231
WONDER MAN,A 231
HELLCAT,DEF 120
"NORRISS, SISTER BARB",DEF 120
WONG,DEF 120
BEAST,DEF 120
OVERMIND,DEF 120
HELLSTORM,DEF 120
GARGOYLE II,DEF 120
MIRACLE MAN,DEF 120
GARGOYLE II,DEF 121
"NORRISS, SISTER BARB",DEF 121
BEAST,DEF 121
OVERMIND,DEF 121
MIRACLE MAN,DEF 121
HELLCAT,DEF 121
HELLSTORM,DEF 121
ICEMAN,DEF 123
SUB-MARINER,DEF 123
"NORRISS, SISTER BARB",DEF 123
MOONDRAGON,DEF 123
HULK,DEF 123
BEAST,DEF 123
SILVER SURFER,DEF 123
ODIN [ASGARDIAN],DEF 123
DR. STRANGE,DEF 123
SCARLET WITCH,DEF 123
CLOUD,DEF 123
VISION,DEF 123
GARGOYLE II,DEF 123
DR. STRANGE,DEF 124
SCARLET WITCH,DEF 124
GARGOYLE II,DEF 124
HULK,DEF 124
SUB-MARINER,DEF 124
SILVER SURFER,DEF 124
ICEMAN,DEF 124
VISION,DEF 124
CLOUD,DEF 124
BEAST,DEF 124
CAPTAIN MARVEL II,M/FAN 24/2
"TOWER, BLAKE",M/FAN 24/2
BEAST,M/FAN 24/2
BINARY,M/FAN 24/2
WONDER MAN,M/FAN 24/2
"FURY, COL. NICHOLAS",M/FAN 24/2
WOLVERINE,M/FAN 24/2
"JARVIS, EDWIN",M/FAN 24/2
THING,M/FAN 24/2
WONDER MAN,A 239
BLACK WIDOW,A 239
"LETTERMAN, DAVID",A 239
VISION,A 239
"STANKOWICZ, FABIAN",A 239
"JARVIS, EDWIN",A 239
BLACK PANTHER,A 239
MOCKINGBIRD,A 239
HAWK,A 239
BEAST,A 239
BEAST,B&B 1
POLTERGEIST,B&B 1
DAZZLER II,B&B 1
WONDER MAN,B&B 1
POLTERGEIST,B&B 2
DAZZLER II,B&B 2
BEAST,B&B 2
DAZZLER II,B&B 3
BEAST,B&B 3
POLTERGEIST,B&B 3
DAZZLER II,B&B 4
POLTERGEIST,B&B 4
BEAST,B&B 4
BEAST,DEF 148
"KING, HANNIBAL",DEF 148
HELLSTORM,DEF 148
GARGOYLE II,DEF 148
HELLCAT,DEF 148
BEAST,DAZZ 42
DAZZLER II,DAZZ 42
HEIMDALL [ASGARDIAN],T 377
SIF,T 377
THOR,T 377
BEAST,T 377
ICEMAN,T 377
LOKI [ASGARDIAN],T 377
FANDRAL [ASGARDIAN],T 377
ENCHANTRESS,T 377
HOGUN [ASGARDIAN],T 377
BEAST,T 379 M/FAN 50
CALIBAN,XF 20
FIREFIST,XF 20
RICTOR,XF 20
ICEMAN,XF 20
"TILBY, TRISH",XF 20
MARVEL GIRL,XF 20
BEAST,XF 20
LEECH,XF 20
"MADDICKS, ARTHUR ART",XF 20
CYCLOPS,XF 20
SKIDS,XF 20
BLACK BOLT,XF@ 2
"MADDICKS, ARTHUR ART",XF@ 2
QUICKSILVER,XF@ 2
LUNA,XF@ 2
IRIDIA [INHUMAN],XF@ 2
KARNAK [INHUMAN],XF@ 2
MAXIMUS [INHUMAN],XF@ 2
ICEMAN,XF@ 2
LEECH,XF@ 2
GORGON [INHUMAN],XF@ 2
GEE,XF@ 2
CYCLOPS,XF@ 2
COUNTERWEIGHT II,XF@ 2
LOCKJAW [INHUMAN],XF@ 2
BEAST,XF@ 2
COUNTERWEIGHT,XF@ 2
MEDUSA,XF@ 2
MARVEL GIRL,XF@ 2
TRITON,XF@ 2
"RICHARDS, FRANKLIN B",XF@ 2
LIGHTSPEED,XF@ 2
BEAST,FF 312
KRISTOFF,FF 312
CYCLOPS,FF 312
MARVEL GIRL,FF 312
MS. MARVEL II,FF 312
CRYSTAL [INHUMAN],FF 312
HUMAN TORCH,FF 312
ICEMAN,FF 312
BLACK PANTHER,FF 312
DR. DOOM,FF 312
THING,FF 312
DAGGER,ST2 18
"DELGADO, FATHER",ST2 18
NIGHT,ST2 18
BEAST,ST2 18
ICEMAN,ST2 18
MARVEL GIRL,ST2 18
CLOAK,ST2 18
MR. JIP,ST2 18
"NALES, DET. REBECCA",C&D3 1
DAGGER,C&D3 1
CLOAK,C&D3 1
MR. JIP,C&D3 1
BEAST,C&D3 1
ICEMAN,C&D3 1
"BOWEN, FATHER MICHAE",C&D3 1
"DELGADO, FATHER",C&D3 1
"TILBY, TRISH",C&D3 1
MAYHEM,C&D3 1
MARVEL GIRL,C&D3 1
RASPUTIN,C&D3 1
MR. FANTASTIC,C&D3 2
"NALES, DET. REBECCA",C&D3 2
MAYHEM,C&D3 2
INVISIBLE WOMAN,C&D3 2
DAGGER,C&D3 2
"RICHARDS, FRANKLIN B",C&D3 2
"DELGADO, FATHER",C&D3 2
ICEMAN,C&D3 2
"CARLISLE, PHILLIP",C&D3 2
"BOWEN, FATHER MICHAE",C&D3 2
MARVEL GIRL,C&D3 2
BEAST,C&D3 2
CLOAK,C&D3 2
MR. JIP,C&D3 2
"MADDICKS, ARTHUR ART",XF@ 3/2
FIREFIST,XF@ 3/2
SKIDS,XF@ 3/2
RICTOR,XF@ 3/2
LEECH,XF@ 3/2
BEAST,XF@ 3/2
BOOMER,XF@ 3/2
BEAST,XF 32
BLACK KNIGHT V,XF 32
RICTOR,XF 32
SKIDS,XF 32
FIREFIST,XF 32
LEECH,XF 32
N'ASTIRH,XF 32
MARVEL GIRL,XF 32
SHE-HULK,XF 32
THOR,XF 32
BOOMER,XF 32
IRON MAN,XF 32
CYCLOPS,XF 32
ICEMAN,XF 32
DR. DRUID,XF 32
"MADDICKS, ARTHUR ART",XF 32
"MADDICKS, ARTHUR ART",XTERM 1
SKIDS,XTERM 1
LEECH,XTERM 1
RICTOR,XTERM 1
BEAST,XTERM 1
FIREFIST,XTERM 1
